"Facility_ID","Facility_Name","Facility_Type","Nearest_Highway","Distance_Meters","Distance_km","Buffer_Zone","Direct_Corridor_Access"
"PAT-FAC-0185","Balaji Heart Centre","Hospital / Healthcare","Atal Path","39.2","0.039","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0186","Jagdamba Hospital","Hospital / Healthcare","NH Corridor (NH22)","14.1","0.014","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0187","Nu-Life Clinic","Hospital / Healthcare","NH Corridor (NH139)","160.6","0.161","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0188","Ayush Hospital","Hospital / Healthcare","NH Corridor (NH22)","281.4","0.281","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0189","Prabha Clinic","Hospital / Healthcare","NH Corridor (NH22)","285","0.285","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0190","Kankarbagh police station","Police Station / Emergency","kankarbagh main road","498.1","0.498","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0191","College of Commerce, Arts and Science","College / University","Kumhrar Road","102.5","0.102","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0192","Indian Oil","Fuel / Petrol Pump","Kumhrar Road","12.3","0.012","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0193","Indian Oil","Fuel / Petrol Pump","Ashok Raj Path","913.9","0.914","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0194","Indian Oil","Fuel / Petrol Pump","Chiriya Taar overbridge","91.8","0.092","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0195","Patliputra Univerity","College / University","Kumhrar Road","17.7","0.018","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0196","Indian Oil","Fuel / Petrol Pump","kankarbagh main road","560.7","0.561","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0197","HP","Fuel / Petrol Pump","NH Corridor (NH139)","27.2","0.027","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0198","Sanjeevani Hospital","Hospital / Healthcare","Kumhrar Road","765.4","0.765","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0199","Patrakar Nagar police station","Police Station / Emergency","NH Corridor (NH22)","565.6","0.566","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0200","RHEUMATOLOGY MEDICAL SPECIALITY CLINIC","Hospital / Healthcare","Ashok Rajpath","727.5","0.727","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0201","NIRANJAN AAROGYA NIKETAN AND RESEARCH CENTRE","Hospital / Healthcare","Ashok Raj Path","297.8","0.298","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0202","AYUSH building, AIIMS Patna","Hospital / Healthcare","NH Corridor (NH139)","351.4","0.351","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0203","AIIMS Patna OPD","Hospital / Healthcare","NH Corridor (NH139)","194.7","0.195","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0204","In patient Department, AIIMS Patna","Hospital / Healthcare","NH Corridor (NH139)","176.4","0.176","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0205","Trauma and Emergency, AIIMS Patna","Hospital / Healthcare","NH Corridor (NH139)","108.9","0.109","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0206","Unnamed Hospital / Healthcare (206)","Hospital / Healthcare","Bailey Road","78.8","0.079","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0207","Unnamed Hospital / Healthcare (207)","Hospital / Healthcare","Bailey Road","179.7","0.18","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0208","Shekhar eye care and laser centre","Hospital / Healthcare","Atal Path Flyover","780.3","0.78","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0209","Unnamed Hospital / Healthcare (209)","Hospital / Healthcare","Atal Path Flyover","383.9","0.384","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0210","Unnamed Police Station / Emergency (210)","Police Station / Emergency","Atal Path","740.8","0.741","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0211","Ridhimaa Medicare and Dental Care","Hospital / Healthcare","NH Corridor (NH22)","274.3","0.274","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0212","mediplus hospital","Hospital / Healthcare","NH Corridor (NH22)","336.7","0.337","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0213","maa laxmi clinic","Hospital / Healthcare","NH Corridor (NH22)","242.3","0.242","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0214","mediglobe multispecialty hospital","Hospital / Healthcare","NH Corridor (NH22)","140.7","0.141","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0215","mediglobe multispecialty hospital","Hospital / Healthcare","NH Corridor (NH22)","33.1","0.033","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0216","amrit avi hospital","Hospital / Healthcare","NH Corridor (NH22)","794.1","0.794","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0217","dr. dipti roy","Hospital / Healthcare","NH Corridor (NH22)","766","0.766","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0218","Patna Nutrition and wellness club","Hospital / Healthcare","NH Corridor (NH22)","821.7","0.822","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0219","dr. sk singha","Hospital / Healthcare","NH Corridor (NH22)","794.5","0.795","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0220","Mohit Medical Hall","Hospital / Healthcare","NH Corridor (NH22)","966.5","0.966","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0221","furever clinic pet","Hospital / Healthcare","NH Corridor (NH139)","849.1","0.849","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0222","SHRI  SAI COLLEGE OF NURSING AND PARAMEDICAL","College / University","NH Corridor (NH139)","785.6","0.786","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0223","Bhawanani Clinic","Hospital / Healthcare","NH Corridor (NH22)","817","0.817","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0224","Sharda Medical Hall","Hospital / Healthcare","NH Corridor (NH22)","686.7","0.687","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0225","Choudhary Medicals","Hospital / Healthcare","NH Corridor (NH22)","812.9","0.813","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0226","SR HOSPITAL","Hospital / Healthcare","NH Corridor (NH22)","237.2","0.237","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0227","Dr. Gopal Prasad","Hospital / Healthcare","Atal Path Flyover","567.5","0.568","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0228","Patna popular hosp[ital","Hospital / Healthcare","NH Corridor (NH22)","42.2","0.042","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0229","DR. BINAY KARAK NEUROLOGISTS CLINIC","Hospital / Healthcare","Kumhrar Road","372.8","0.373","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0230","DR. PRABHAT MEMORIAL HIRAMATI HOSPITAL","Hospital / Healthcare","Kumhrar Road","802.3","0.802","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0231","PINNACLE HOSPITAL","Hospital / Healthcare","NH Corridor (NH139)","553.8","0.554","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0232","AN College Police Station","Police Station / Emergency","Atal Path Flyover","97","0.097","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0233","Bihar Burn Hospital","Hospital / Healthcare","Kumhrar Road","762.9","0.763","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0234","Bhootnath Diagnostics","Hospital / Healthcare","Kumhrar Road","796.6","0.797","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0235","Atharv hospital","Hospital / Healthcare","NH Corridor (NH22)","746.8","0.747","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0236","Osho Dhara Hospital","Hospital / Healthcare","Kumhrar Road","621.8","0.622","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0237","Nalanda Seva Sadan Hospital","Hospital / Healthcare","NH Corridor (NH22)","818","0.818","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0238","CIMS Hospital","Hospital / Healthcare","NH Corridor (NH22)","680.6","0.681","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0239","Apna Emergency Hospital","Hospital / Healthcare","NH Corridor (NH22)","516.2","0.516","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0240","Pushpanjali Multispecialty Hospital","Hospital / Healthcare","NH Corridor (NH22)","748.5","0.748","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0241","Patliputra Hospitals & Research Centre","Hospital / Healthcare","NH Corridor (NH22)","463.7","0.464","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0242","Priyadarshani Nishant Hospital","Hospital / Healthcare","NH Corridor (NH22)","690.4","0.69","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0243","Hari Hospital","Hospital / Healthcare","NH Corridor (NH22)","643","0.643","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0244","Shree Ganesha Hospital","Hospital / Healthcare","NH Corridor (NH22)","609.4","0.609","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0245","The City Hospital","Hospital / Healthcare","NH Corridor (NH22)","621.2","0.621","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0246","Sindhu Advanced Child Care Center","Hospital / Healthcare","NH Corridor (NH22)","357.9","0.358","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0247","shankar medical","Hospital / Healthcare","NH Corridor (NH22)","637.7","0.638","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0248","agam kuaa thana","Police Station / Emergency","NH Corridor (NH22)","482.1","0.482","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0249","vijay nuirsing home","Hospital / Healthcare","NH Corridor (NH22)","641.7","0.642","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0250","kali mandir medical","Hospital / Healthcare","NH Corridor (NH22)","639.1","0.639","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0251","sunil medical","Hospital / Healthcare","NH Corridor (NH22)","646.6","0.647","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0252","mamta kunj","Hospital / Healthcare","Patna Bypass / Expressway Corridor","959.6","0.96","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0253","Unnamed Hospital / Healthcare (253)","Hospital / Healthcare","Patna Bypass / Expressway Corridor","1152.7","1.153","1000m - 2000m (Secondary Access)","No"
"PAT-FAC-0254","mini pet care","Hospital / Healthcare","Patna Bypass / Expressway Corridor","831.6","0.832","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0255","orthocare and speciality","Hospital / Healthcare","Patna Bypass / Expressway Corridor","938.2","0.938","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0256","sasmay hospital","Hospital / Healthcare","NH Corridor (NH922)","294.6","0.295","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0257","prathma blood care centre","Hospital / Healthcare","NH Corridor (NH922)","42.1","0.042","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0258","High Tech","Hospital / Healthcare","NH Corridor (NH922)","232.6","0.233","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0259","Indian Oil","Fuel / Petrol Pump","NH Corridor (NH139)","45.9","0.046","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0260","Lokpriye Hospital","Hospital / Healthcare","Primary Arterial (SH1)","753","0.753","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0261","Meditech Hospital & Sports Injury Centre","Hospital / Healthcare","Bailey Road Flyover","594.2","0.594","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0262","Unnamed Police Station / Emergency (262)","Police Station / Emergency","Atal Path Flyover","3.9","0.004","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0263","Unnamed Hospital / Healthcare (263)","Hospital / Healthcare","Ashok Rajpath","18.3","0.018","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0264","DR AK Chamdra","Hospital / Healthcare","Ashok Rajpath","38.4","0.038","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0265","Unnamed Police Station / Emergency (265)","Police Station / Emergency","Patna Bypass / Expressway Corridor","289.1","0.289","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0266","Unnamed Hospital / Healthcare (266)","Hospital / Healthcare","Bailey Road Flyover","1538","1.538","1000m - 2000m (Secondary Access)","No"
"PAT-FAC-0267","Dr B K Rai","Hospital / Healthcare","Atal Path Flyover","1625.4","1.625","1000m - 2000m (Secondary Access)","No"
"PAT-FAC-0268","Dr D K Singh's MultiSpeciality Dental Clinic & Implant Center","Hospital / Healthcare","Bailey Road Flyover","1539.2","1.539","1000m - 2000m (Secondary Access)","No"
"PAT-FAC-0269","Unnamed Hospital / Healthcare (269)","Hospital / Healthcare","Bailey Road Flyover","1539.1","1.539","1000m - 2000m (Secondary Access)","No"
"PAT-FAC-0270","Unnamed Hospital / Healthcare (270)","Hospital / Healthcare","Atal Path Flyover","1488","1.488","1000m - 2000m (Secondary Access)","No"
"PAT-FAC-0271","Narayana Cancer Centre","Hospital / Healthcare","Atal Path Flyover","371.1","0.371","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0272","Super Clinic","Hospital / Healthcare","Atal Path Flyover","639.8","0.64","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0273","Krishna Cardiac Center","Hospital / Healthcare","Atal Path Flyover","708.2","0.708","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0274","Unnamed Police Station / Emergency (274)","Police Station / Emergency","Atal Path Flyover","2.7","0.003","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0275","Unnamed Police Station / Emergency (275)","Police Station / Emergency","Atal Path Flyover","2.6","0.003","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0276","Unnamed Police Station / Emergency (276)","Police Station / Emergency","Atal Path Flyover","248.8","0.249","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0277","Unnamed Police Station / Emergency (277)","Police Station / Emergency","Patna Bypass / Expressway Corridor","83.1","0.083","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0278","Buddha Cancer Centre, Patna","Hospital / Healthcare","NH Corridor (NH922)","348.6","0.349","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0279","Unnamed Hospital / Healthcare (279)","Hospital / Healthcare","Atal Path Flyover","153.1","0.153","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0280","RUDRA DENTAL CLINIC","Hospital / Healthcare","NH Corridor (NH22)","958.4","0.958","500m - 1000m (Intermediate Access)","No"
