"Road_ID","Road_Name","Category","Highway_Type","Ref_Code","Length_km","Lanes","Speed_Limit_kmph","Carriageway","Pavement_Condition"
"PAT-RD-0193","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.051","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0194","chiraiyantand flyover road","Secondary / Connector Road","secondary","N/A","0.187","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0195","Dak Bunglow Road","National Highway / Expressway","trunk","NH922","0.448","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0196","Dhanush Setu Flyover","Secondary / Connector Road","secondary","N/A","0.369","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0197","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.053","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0198","Urban Connector Road","Secondary / Connector Road","secondary","N/A","1.042","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0199","Urban Connector Road","Secondary / Connector Road","secondary_link","N/A","0.023","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0200","Major City Arterial","Primary Arterial Road","primary","N/A","1.856","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0201","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.311","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0202","Flyover","Primary Arterial Road","primary","N/A","0.357","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0203","Exhibition Road","Secondary / Connector Road","secondary","N/A","0.285","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0204","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.232","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0205","Kumrahar Flyover","Secondary / Connector Road","secondary","N/A","0.65","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0206","Major City Arterial","Primary Arterial Road","primary","N/A","0.058","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0207","Urban Connector Road","Secondary / Connector Road","secondary","N/A","1.011","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0208","Secondary Road (MDR)","Secondary / Connector Road","secondary","MDR","4.447","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0209","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.477","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0210","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.021","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0211","AIIMS - DIGHA Service road","Secondary / Connector Road","secondary","N/A","3.321","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0212","Malahi Pakdi Road","Secondary / Connector Road","secondary","N/A","0.494","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0213","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.492","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0214","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.164","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0215","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.021","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0216","Malahi Pakdi Road","Secondary / Connector Road","secondary","N/A","0.162","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0217","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.447","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0218","Bailey Road","National Highway / Expressway","trunk","NH922","0.924","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0219","Major City Arterial","Primary Arterial Road","primary","N/A","1.132","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0220","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.35","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0221","East Boring Canal Road","Secondary / Connector Road","secondary","N/A","0.099","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0222","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.16","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0223","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk","N/A","0.347","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0224","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.035","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0225","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.041","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0226","NH Corridor (NH22;NH31)","National Highway / Expressway","trunk","NH22;NH31","0.028","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0227","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.288","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0228","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.304","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0229","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.201","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0230","NH Corridor (NH31)","National Highway / Expressway","trunk","NH31","3.006","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0231","Flyover","National Highway / Expressway","trunk","N/A","0.028","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0232","Flyover","National Highway / Expressway","trunk","N/A","0.079","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0233","Flyover","National Highway / Expressway","trunk","N/A","0.035","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0234","Flyover","National Highway / Expressway","trunk","N/A","0.385","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0235","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.521","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0236","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.663","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0237","Flyover","National Highway / Expressway","trunk","N/A","0.344","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0238","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.78","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0239","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.767","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0240","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.033","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0241","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.545","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0242","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.53","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0243","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.94","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0244","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.988","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0245","R Block Road Flyover","Primary Arterial Road","primary","N/A","0.319","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0246","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.761","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0247","Chiraiyatand Flyover","Secondary / Connector Road","secondary","N/A","0.031","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0248","Chiraiyatand Flyover","Secondary / Connector Road","secondary","N/A","0.248","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0249","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.046","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0250","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.36","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0251","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.578","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0252","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.649","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0253","Neora Road","Primary Arterial Road","primary","N/A","0.035","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0254","Neora Road","Primary Arterial Road","primary","N/A","0.053","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0255","Neora Road","Primary Arterial Road","primary","N/A","0.041","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0256","Major City Arterial","Primary Arterial Road","primary","N/A","0.104","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0257","Major City Arterial","Primary Arterial Road","primary","N/A","0.046","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0258","Neora Road","Primary Arterial Road","primary","N/A","0.749","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0259","Neora Road","Primary Arterial Road","primary","NH922","0.482","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0260","Neora Road","Primary Arterial Road","primary","N/A","0.078","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0261","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","3.443","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0262","Major City Arterial","Primary Arterial Road","primary","N/A","0.56","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0263","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk","N/A","2.015","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0264","Urban Connector Road","Secondary / Connector Road","secondary_link","N/A","0.024","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0265","Urban Connector Road","Secondary / Connector Road","secondary_link","N/A","0.024","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0266","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.719","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0267","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.573","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0268","Bailey Road","National Highway / Expressway","trunk","NH922","1.826","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0269","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.677","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0270","Fraser Road","Primary Arterial Road","primary","N/A","0.532","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0271","Major City Arterial","Primary Arterial Road","primary","N/A","0.093","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0272","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.144","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0273","R Block Road Flyover","Primary Arterial Road","primary","N/A","0.452","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0274","R Block Road Flyover","Primary Arterial Road","primary","N/A","0.441","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0275","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.201","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0276","Birchand Patel Path Flyover (Gardner Road Flyover)","Primary Arterial Road","primary","N/A","0.448","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0277","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.201","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0278","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.193","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0279","Atal Path","Primary Arterial Road","primary","N/A","0.735","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0280","Birchand Patel Path Flyover (Gardner Road Flyover)","Primary Arterial Road","primary","N/A","0.447","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0281","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.337","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0282","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.381","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0283","R Block Road Flyover","Primary Arterial Road","primary","N/A","0.124","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0284","Urban Connector Road","Secondary / Connector Road","secondary","N/A","2.839","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0285","Bailey Road Flyover","National Highway / Expressway","trunk","NH922","0.197","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0286","Bailey Road Flyover","National Highway / Expressway","trunk","NH922","2.347","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0287","Bailey Road Flyover","National Highway / Expressway","trunk","NH922","0.163","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0288","Bailey Road Flyover","National Highway / Expressway","trunk","NH922","2.346","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0289","Bailey Road Flyover","National Highway / Expressway","trunk","NH922","0.161","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0290","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.167","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0291","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.162","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0292","Bailey Road Flyover","National Highway / Expressway","trunk","NH922","0.199","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0293","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.363","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0294","Flyover","National Highway / Expressway","trunk","N/A","0.296","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0295","Flyover","National Highway / Expressway","trunk","N/A","0.277","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0296","NH Corridor (NH31)","National Highway / Expressway","trunk","NH31","0.342","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0297","Kankarbagh Main Road","National Highway / Expressway","trunk","NH139","0.686","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0298","Chiriya Taar overbridge","Primary Arterial Road","primary","NH922","0.03","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0299","Chiriya Taar overbridge","Primary Arterial Road","primary","NH922","0.069","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0300","Rajendra Path","National Highway / Expressway","trunk","NH922","0.202","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0301","Chiriya Taar overbridge","Primary Arterial Road","primary","NH922","0.041","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0302","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.227","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0303","Chiriya Taar overbridge","Primary Arterial Road","primary","NH922","0.107","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0304","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","2.098","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0305","Secondary Road (MDR)","Secondary / Connector Road","secondary","MDR","0.064","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0306","NH Corridor (NH31)","National Highway / Expressway","trunk","NH31","0.362","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0307","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk","N/A","0.504","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0308","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk","N/A","0.105","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0309","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.037","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0310","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.021","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0311","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.276","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0312","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.021","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0313","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.269","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0314","Urban Connector Road","Secondary / Connector Road","secondary","N/A","1.845","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0315","Serpentine Road Flyover","Secondary / Connector Road","secondary","N/A","0.524","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0316","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.616","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0317","GauriyaMath Flyover","Secondary / Connector Road","secondary","N/A","0.045","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0318","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.057","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0319","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.098","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0320","Urban Connector Road","Secondary / Connector Road","secondary","N/A","1.337","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0321","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.721","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0322","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.03","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0323","Urban Connector Road","Secondary / Connector Road","secondary_link","N/A","0.024","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0324","Flyover","Secondary / Connector Road","secondary","N/A","0.07","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0325","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.098","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0326","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.03","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0327","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.393","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0328","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.396","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0329","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.028","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0330","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.021","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0331","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.026","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0332","Major City Arterial","Primary Arterial Road","primary","N/A","1.11","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0333","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.039","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0334","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.035","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0335","Flyover","Primary Arterial Road","primary","N/A","0.046","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0336","Major City Arterial","Primary Arterial Road","primary","N/A","0.206","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0337","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.059","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0338","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.057","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0339","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.196","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0340","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.188","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0341","Chiriya Taar overbridge","Primary Arterial Road","primary","NH922","0.045","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0342","Chiriya Taar overbridge","Primary Arterial Road","primary","NH922","0.133","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0343","Station Road Flyover","Primary Arterial Road","primary_link","N/A","0.094","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0344","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.183","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0345","Major City Arterial","Primary Arterial Road","primary","N/A","0.103","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0346","Major City Arterial","Primary Arterial Road","primary","N/A","0.406","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0347","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.024","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0348","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.38","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0349","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.662","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0350","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.022","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0351","Major City Arterial","Primary Arterial Road","primary","N/A","1.616","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0352","Ashok Rajpath","Primary Arterial Road","primary","N/A","0.444","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0353","Ashok Rajpath","Primary Arterial Road","primary","N/A","1.286","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0354","90 Feet Road","Secondary / Connector Road","secondary","N/A","0.362","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0355","Malahi Pakdi Road","Secondary / Connector Road","secondary","N/A","0.082","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0356","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","1.743","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0357","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","2.541","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0358","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.021","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0359","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.158","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0360","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.02","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0361","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","0.161","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0362","Flyover","National Highway / Expressway","trunk","NH22","0.51","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0363","Major City Arterial","Primary Arterial Road","primary","N/A","0.151","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0364","Flyover","National Highway / Expressway","trunk","NH22","0.123","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0365","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.099","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0366","Major City Arterial","Primary Arterial Road","primary","N/A","0.62","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0367","Primary Arterial (NH922)","Primary Arterial Road","primary","NH922","0.078","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0368","Primary Arterial (NH922)","Primary Arterial Road","primary","NH922","0.304","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0369","Primary Arterial (NH922)","Primary Arterial Road","primary","NH922","0.392","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0370","Major City Arterial","Primary Arterial Road","primary","N/A","0.389","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0371","Major City Arterial","Primary Arterial Road","primary","N/A","0.063","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0372","Bailey Road","National Highway / Expressway","trunk","NH922","0.549","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0373","Buddha Marg","Secondary / Connector Road","secondary","N/A","0.557","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0374","Buddha Marg Flyover","Secondary / Connector Road","secondary","N/A","0.099","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0375","Urban Connector Road","Secondary / Connector Road","secondary_link","N/A","0.058","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0376","Fraser Road (Mazrul Haque Path)","Secondary / Connector Road","secondary","N/A","0.196","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0377","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk_link","N/A","0.06","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0378","Rajendra Path","National Highway / Expressway","trunk","NH922","0.238","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0379","Bhattacharya Road","National Highway / Expressway","trunk","NH922","0.261","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0380","Rajendra Path","Secondary / Connector Road","secondary","N/A","0.389","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0381","Rajendra Path","Secondary / Connector Road","secondary","N/A","0.3","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0382","Rajendra Path","Secondary / Connector Road","secondary","N/A","0.047","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0383","Rajendra Path","Secondary / Connector Road","secondary","N/A","0.303","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0384","Rajendra Path","Secondary / Connector Road","secondary","N/A","0.246","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0385","Rajendra Path","Secondary / Connector Road","secondary","N/A","0.055","2","40","Undivided 2-Lane","Good (PCI 85-100)"
